Gender,Age,Income,Landmark,Location,Shopping site,Payment Method,Budget,Shopping preference,Category
Female,30,50000,Tiwari Pur, Bhayandar,Amazon,Credit Card,5000,During festivals,Fashion and Lifestyle
Male,22,20000, Central park, Nallasopara,Amazon,UPI,3000,Does not matter,"Computer, mobile, accessories"
Male,21,75000,Mira Road, Thane,Amazon,Cash,5000,During Sales,Home and Electronics
Male,23,50000, Kapurbawdi,Thane,Both,UPI,3000,During festivals,Home and Electronics
Male,21,20000,Lakshmi park,Thane,Flipkart,UPI,3000,During Sales,"Computer, mobile, accessories"
Female,20,20000,Harkesh, Mira road ,Amazon,UPI,5000,During Sales,Fashion and Lifestyle
Male,25,100000,Kandiwali, Borivali,Amazon,Credit Card,10000,Regularly,Sports and fitness
Male,21,20000,FatherwadiGokhiware Road, Vasai,Amazon,Credit Card,3000,Does not matter,Requirement of accessories or appliances 
Male,23,50000,Colaba, Mumbai,Amazon,Credit Card,5000,Does not matter,Personal health and grooming
Male,20,100000, Ashok Nagar, Kandivali,Amazon,Cash,5000,During festivals,"Computer, mobile, accessories"
Male,20,75000,Mahajan wadi mira gaothan, Mira road ,Amazon,Cash,3000,During festivals,Sports and fitness
Male,20,50000,Vasai, Palghar,Myntra,Cash,3000,During Sales,Fashion and Lifestyle
Male,21,20000,Kandivali,Mumbai,Amazon,Cash,5000,Regularly,Home and Electronics
Male,21,100000,Dada Pandey comp, Dahisar,Amazon,Cash,5000,During Sales,"Computer, mobile, accessories"
Male,20,100000,Poonam Garden, Mira road ,Amazon,Credit Card,3000,During Sales,"Computer, mobile, accessories"
Male,19,50000,Vijay park, Mira road ,Flipkart,UPI,5000,During festivals,Fashion and Lifestyle
Male,20,100000,Mira Road, Mumbai,Amazon,UPI,7000,Does not matter,Fashion and Lifestyle
Male,36,50000,Mira bhyandar, Thane,Amazon,UPI,3000,During festivals,Home and Electronics
Male,21,100000, Gorai , Borivali,Amazon,UPI,5000,Regularly,"Computer, mobile, accessories"
Female,19,100000,Gorai ,Borivali ,Amazon,Cash,5000,During Sales,Fashion and Lifestyle
Male,20,20000, S.k road, Dahisar,Flipkart,Debit Card,10000,During Sales,"Computer, mobile, accessories"
Female,22,100000,Rajashree Shahu Nagar, Nanded,Amazon,Cash,3000,Regularly,Home and Electronics
Male,20,20000,SIT college, Tumkur ,Amazon,UPI,3000,During festivals,Fashion and Lifestyle
Male,21,75000, Evershine , Andheri,Amazon,Debit Card,3000,Regularly,"Computer, mobile, accessories"
Female,23,20000,Gubbi, Tumkur,Amazon,Credit Card,3000,Does not matter,Stationary
Female,35,20000,Moreshwar complex, Navi-Mumbai ,Amazon,UPI,3000,During festivals,Fashion and Lifestyle
Female,30,100000,Yashwant Gaurav, Nallasopara,Amazon,UPI,5000,Does not matter,Home and Electronics
Female,32,20000,Ganesh park, Andheri,Amazon,Cash,3000,During festivals,Fashion and Lifestyle
Female,31,20000,Ganesh Nagar, Bareilly,Amazon,Cash,3000,During festivals,Groceries
Female,19,100000,Bhayander west, Mumbai,Myntra,Cash,3000,Does not matter,Fashion and Lifestyle
Male,20,100000,Queens park, Mira road,Amazon,Debit Card,10000,Does not matter,Cars and Bikes
Female,20,100000,Mayor's bunglow, Mira road,Amazon,Cash,3000,Does not matter,Fashion and Lifestyle
Male,42,100000,Hinjewadi phase 1, Pune,Amazon,Credit Card,3000,During festivals,Groceries
Female,36,20000,Hinjewadi Phase1, nagpur,Ajio,UPI,3000,During festivals,Fashion and Lifestyle
Female,21,20000,Bazar ward, Virar ,Amazon,Cash,3000,Does not matter,Fashion and Lifestyle
Male,34,100000,Priyanagar, Virar,Amazon,Credit Card,5000,Does not matter,Fashion and Lifestyle
Male,18,20000,Rajesh park, Mulund,Amazon,UPI,3000,Does not matter,"Computer, mobile, accessories"
Male,18,20000,Raj park, Ram Mandir,Amazon,Debit Card,5000,Does not matter,Home and Electronics
Male,19,20000,Sai nagar, Kandivali,Amazon,Cash,3000,During Sales,Home and Electronics
Male,20,20000,Sarojini naidu road, Kandivali,Amazon,UPI,5000,During festivals,Fashion and Lifestyle
Male,19,50000,Queen's Park, Mira Bhayandar,Flipkart,UPI,10000,During festivals,"TV's, appliances"
Female,20,100000,Shanti Park, Mira road,Amazon,Cash,5000,During festivals,Fashion and Lifestyle
Female,20,20000,Harshit nagar, Malad,Amazon,Debit Card,3000,During festivals,Fashion and Lifestyle
Male,19,20000,Padmavati nagar, Virar,Amazon,UPI,3000,Regularly,Fashion and Lifestyle
